,circuitId,circuitName
0,1,Albert Park Grand Prix Circuit
1,2,Sepang International Circuit
2,3,Bahrain International Circuit
3,4,Circuit de Barcelona-Catalunya
4,5,Istanbul Park
5,6,Circuit de Monaco
6,7,Circuit Gilles Villeneuve
7,8,Circuit de Nevers Magny-Cours
8,9,Silverstone Circuit
9,10,Hockenheimring
10,11,Hungaroring
11,12,Valencia Street Circuit
12,13,Circuit de Spa-Francorchamps
13,14,Autodromo Nazionale di Monza
14,15,Marina Bay Street Circuit
15,16,Fuji Speedway
16,17,Shanghai International Circuit
17,18,Autódromo José Carlos Pace
18,19,Indianapolis Motor Speedway
19,20,Nürburgring
20,21,Autodromo Enzo e Dino Ferrari
21,22,Suzuka Circuit
22,80,Las Vegas Strip Street Circuit
23,24,Yas Marina Circuit
24,25,Autódromo Juan y Oscar Gálvez
25,26,Circuito de Jerez
26,27,Autódromo do Estoril
27,28,Okayama International Circuit
28,29,Adelaide Street Circuit
29,30,Kyalami
30,31,Donington Park
31,32,Autódromo Hermanos Rodríguez
32,33,Phoenix street circuit
33,34,Circuit Paul Ricard
34,35,Korean International Circuit
35,36,Autódromo Internacional Nelson Piquet
36,37,Detroit Street Circuit
37,38,Brands Hatch
38,39,Circuit Park Zandvoort
39,40,Zolder
40,41,Dijon-Prenois
41,42,Fair Park
42,43,Long Beach
43,44,Las Vegas Street Circuit
44,45,Jarama
45,46,Watkins Glen
46,47,Scandinavian Raceway
47,48,Mosport International Raceway
48,49,Montjuïc
49,50,Nivelles-Baulers
50,51,Charade Circuit
51,52,Circuit Mont-Tremblant
52,53,Rouen-Les-Essarts
53,54,Le Mans
54,55,Reims-Gueux
55,56,Prince George Circuit
56,57,Zeltweg
57,58,Aintree
58,59,Circuito da Boavista
59,60,Riverside International Raceway
60,61,AVUS
61,62,Monsanto Park Circuit
62,63,Sebring International Raceway
63,64,Ain Diab
64,65,Pescara Circuit
65,66,Circuit Bremgarten
66,67,Circuit de Pedralbes
67,68,Buddh International Circuit
68,69,Circuit of the Americas
69,70,Red Bull Ring
70,71,Sochi Autodrom
71,73,Baku City Circuit
72,75,Autódromo Internacional do Algarve
73,76,Autodromo Internazionale del Mugello
74,77,Jeddah Corniche Circuit
75,78,Losail International Circuit
76,79,Miami International Autodrome
